post_date,trans_date,merchant,country,purchase_currency,aud_amount,hkd_amount,fx_rate
09-06-2026,05-06-2026,BP CONNECT 0811 ASHFIELD,AU,AUD,$40.01,$228.64,5.71457
09-06-2026,07-06-2026,THE MAJOR HABERFIELD HABERFIELD,AU,AUD,$88.78,$507.17,5.71266
09-06-2026,08-06-2026,SQ *ANGUS MARRICKVILLE Marrickville,AU,AUD,$38.29,$218.73,5.71246
09-06-2026,07-06-2026,SIMPLE SIMONS GELATO C MOSMAN,AU,AUD,$40.15,$229.36,5.71258
09-06-2026,06-06-2026,GET SASHIMI BONDI BEACH,AU,AUD,$30.00,$171.38,5.71267
09-06-2026,07-06-2026,SQ *THE BERLIN FOOD BUNKE Melrose Park,AU,AUD,$15.28,$87.29,5.71270
09-06-2026,08-06-2026,GYG Rhodes Rhodes,AU,AUD,$29.82,$170.35,5.71261
09-06-2026,07-06-2026,WOOLWORTHS/6-14 WALKER ST RHODES,AU,AUD,$94.86,$541.89,5.71252
10-06-2026,06-06-2026,PETBARN MERRYLANDS MERRYLANDS,AU,AUD,$28.48,$162.69,5.71243
10-06-2026,07-06-2026,ZETCITI SUPERMRKT RC RHODES,AU,AUD,$63.65,$363.60,5.71249
11-06-2026,10-06-2026,WOOLWORTHS/6-14 WALKER ST RHODES,AU,AUD,$42.52,$240.36,5.65287
11-06-2026,09-06-2026,EZI*DYNASTY Lugarno,AU,AUD,$86.15,$487.38,5.65734
11-06-2026,11-06-2026,IFS PAYMENT - THANK YOU,HK,HKD,,"$50,104.10",
12-06-2026,11-06-2026,SQ *GOOD FELLA COFFEE PTY Bella Vista,AU,AUD,$48.70,$273.93,5.62485
13-06-2026,12-06-2026,By V Bar & Cafe Marrickville,AU,AUD,$19.37,$109.23,5.63913
15-06-2026,12-06-2026,LS Marrickville Messin Marrickville,AU,AUD,$19.31,$108.88,5.63853
15-06-2026,13-06-2026,SQ *YUMYUM Concord,AU,AUD,$60.50,$341.39,5.64281
15-06-2026,13-06-2026,Chargrill OlympicPark Lidcombe,AU,AUD,$20.71,$116.87,5.64317
15-06-2026,12-06-2026,HoonSikDang Rhodes,AU,AUD,$189.81,"$1,070.32",5.63890
15-06-2026,14-06-2026,The London Hotel Balmain,AU,AUD,$76.13,$429.60,5.64298
15-06-2026,13-06-2026,WOOLWORTHS/6-14 WALKER ST RHODES,AU,AUD,$42.80,$241.52,5.64299
16-06-2026,14-06-2026,WOOLWORTHS/6-14 WALKER ST RHODES,AU,AUD,$36.04,$203.37,5.64290
16-06-2026,15-06-2026,WOOLWORTHS/MACQUARIE S/C NORTH RYDE,AU,AUD,$29.88,$168.60,5.64257
16-06-2026,12-06-2026,BP CONNECT 0811 ASHFIELD,AU,AUD,$56.01,$315.83,5.63881
16-06-2026,15-06-2026,SHIM SZE EIN MACQUARIE PAR,AU,AUD,$180.00,"$1,015.72",5.64289
17-06-2026,15-06-2026,Netflix.com Los Gatos,SG,HKD,,$118.00,
17-06-2026,15-06-2026,DCC FEE-NON-HK MERCHANT,HK,HKD,,$1.18,
17-06-2026,16-06-2026,BARE WITNESS RHODES,AU,AUD,$31.02,$175.76,5.66602
17-06-2026,16-06-2026,El Jannah Burwood Burwood,AU,AUD,$39.00,$220.98,5.66615
18-06-2026,17-06-2026,WOOLWORTHS/6-14 WALKER ST RHODES,AU,AUD,$31.20,$176.52,5.65769
18-06-2026,16-06-2026,EZI*DYNASTY Lugarno,AU,AUD,$86.15,$488.13,5.66605
22-06-2026,20-06-2026,KAPNOR PTY LTD CHATSWOOD,AU,AUD,$17.20,$96.68,5.62093
22-06-2026,20-06-2026,CONCORDIA CLUB LIMITED TEMPE,AU,AUD,$64.00,$359.74,5.62094
22-06-2026,19-06-2026,Gyukatsu Kyoto Katsugy Sydney,AU,AUD,$95.50,$537.65,5.62984
22-06-2026,21-06-2026,WOOLWORTHS/6-14 WALKER ST RHODES,AU,AUD,$86.94,$488.69,5.62100
22-06-2026,20-06-2026,CONCORDIA CLUB LIMITED TEMPE,AU,AUD,$12.00,$67.45,5.62083
23-06-2026,21-06-2026,Bamboo Sushi DFO ERMINGTON,AU,AUD,$18.99,$106.74,5.62085
23-06-2026,21-06-2026,THE LUCKY PLACE RHODES RHODES,AU,AUD,$28.30,$159.07,5.62085
23-06-2026,20-06-2026,Kiehls Chatswood Melbourne,AU,AUD,$59.00,$331.63,5.62085
23-06-2026,22-06-2026,ADRENALINE HQ WEST RYDE,AU,AUD,$134.99,$758.77,5.62093
24-06-2026,21-06-2026,AQUILA PTY LTD HOMEBUSH,AU,AUD,$31.42,$176.61,5.62094
24-06-2026,23-06-2026,SQ *HEADLANDS COFFEE Summer Hill,AU,AUD,$53.00,$297.55,5.61415
24-06-2026,23-06-2026,WOOLWORTHS/6-14 WALKER ST RHODES,AU,AUD,$38.45,$215.87,5.61430
25-06-2026,23-06-2026,EZI*DYNASTY Lugarno,AU,AUD,$86.15,$483.66,5.61416
25-06-2026,23-06-2026,BP CONNECT 0811 ASHFIELD,AU,AUD,$50.03,$280.88,5.61423
25-06-2026,23-06-2026,SUPERCHEAP AUTO ASHF ASHFIELD,AU,AUD,$32.99,$185.21,5.61413
26-06-2026,24-06-2026,SQ *STUDIO NO. 4 Gladesville,AU,AUD,$65.00,$364.43,5.60662
26-06-2026,24-06-2026,AMAZON MARKETPLACE AU SYDNEY,AU,AUD,$49.99,$280.66,5.61432
